Company name;Fixed assets 2018;Fixed assets 2017;Fixed assets 2016;Intangible fixed assets 2018;Intangible fixed assets 2017;Intangible fixed assets 2016;Tangible fixed assets 2018;Tangible fixed assets 2017;Tangible fixed assets 2016;Other fixed assets 2018;Other fixed assets 2017;Other fixed assets 2016;Current assets 2018;Current assets 2017;Current assets 2016;Stock 2018;Stock 2017;Stock 2016;Debtors 2018;Debtors 2017;Debtors 2016;Other current assets 2018;Other current assets 2017;Other current assets 2016;Cash & cash equivalent 2018;Cash & cash equivalent 2017;Cash & cash equivalent 2016;Total assets 2018;Total assets 2017;Total assets 2016;Shareholders funds 2018;Shareholders funds 2017;Shareholders funds 2016;Capital 2018;Capital 2017;Capital 2016;Other shareholders funds 2018;Other shareholders funds 2017;Other shareholders funds 2016;Non-current liabilities 2018;Non-current liabilities 2017;Non-current liabilities 2016;Long term debt 2018;Long term debt 2017;Long term debt 2016;Other non-current liabilities 2018;Other non-current liabilities 2017;Other non-current liabilities 2016;Provisions 2018;Provisions 2017;Provisions 2016;Current liabilities 2018;Current liabilities 2017;Current liabilities 2016;Loans 2018;Loans 2017;Loans 2016;Creditors 2018;Creditors 2017;Creditors 2016;Other current liabilities 2018;Other current liabilities 2017;Other current liabilities 2016;Total shareh. funds & liab. 2018;Total shareh. funds & liab. 2017;Total shareh. funds & liab. 2016;NACE Rev. 2 primary code;NACE Rev. 2, primary code description;MORE evaluation - Score 2018;MORE evaluation - Score 2017;MORE evaluation - Score 2016
BRUNOLD AUTOMOBILE GMBH;137;37;40;0;0;0;137;37;40;0;0;0;896;1009;1406;164;406;745;0;0;0;732;603;662;166;254;310;1033;1046;1447;545;528;474;25;25;25;520;503;449;24;518;973;0;461;906;24;57;66;24;57;66;464;0;0;0;n.a.;n.a.;0;n.a.;n.a.;464;n.a.;n.a.;1033;1046;1447;4510;Sale of motor vehicles;BB;BB;BB
BUCHBINDEREI S.R. BUEGE GMBH;284;365;335;1;1;0;283;364;335;0;0;0;3066;2974;3337;50;50;50;0;0;0;3016;2924;3287;1336;1405;1682;3350;3339;3671;3057;3001;3097;50;50;50;3007;2951;3047;123;130;175;0;0;0;123;130;175;123;130;175;170;207;399;0;0;0;0;0;0;170;207;399;3350;3339;3671;1814;Binding and related services;BBB;BBB;BBB
BUCHDRUCKEREI P. DOBLER GMBH & CO. KG.;428;517;606;0;0;0;428;517;606;0;0;0;351;452;532;8;58;78;16;180;227;327;214;227;n.a.;n.a.;n.a.;780;969;1139;307;307;307;307;307;307;0;0;0;165;663;832;158;654;828;6;9;4;6;9;4;308;0;0;0;n.a.;n.a.;0;n.a.;n.a.;308;n.a.;n.a.;780;969;1139;1812;Other printing;BB;BB;BB
BUERO DATA AKTIENGESELLSCHAFT;126;194;87;0;0;0;126;194;87;0;0;0;1561;1167;1041;157;146;55;0;0;0;1404;1020;987;849;330;392;1687;1361;1128;940;846;817;300;300;256;640;546;561;77;507;56;0;428;0;77;79;56;77;79;56;670;8;255;n.a.;0;n.a.;n.a.;0;n.a.;189;8;46;1687;1361;1128;6202;Computer consultancy activities;BBB;BB;BB
BUERO GFROERER GMBH & CO. KG;56;70;79;14;15;18;42;56;61;0;0;0;509;538;459;0;0;0;0;0;0;509;538;459;193;196;198;565;608;538;203;203;203;55;55;55;148;148;148;221;405;336;0;156;241;221;249;95;221;249;95;142;0;0;0;n.a.;n.a.;0;n.a.;n.a.;142;n.a.;n.a.;565;608;538;7112;Engineering activities and related technical consultancy;BB;BB;BB
BUERO VALK GMBH + CO.KG;215;303;288;5;9;5;89;173;180;121;121;103;1164;810;1030;270;236;272;0;0;0;894;574;757;379;155;374;1380;1113;1318;546;461;677;546;461;677;0;0;0;390;351;357;0;0;0;390;351;357;390;351;357;444;301;283;0;0;0;0;0;0;444;301;283;1380;1113;1318;4649;Wholesale of other household goods;BB;BB;BB
BULLEREI GMBH & CO. KG;186;248;333;2;3;6;184;244;327;0;0;0;1827;2222;1410;95;84;101;0;0;0;1732;2137;1309;1284;1114;666;2013;2469;1743;1159;1723;1163;1159;1723;1163;0;0;0;141;93;76;0;0;0;141;93;76;141;93;76;713;653;503;0;0;0;0;0;0;713;653;503;2013;2469;1743;5610;Restaurants and mobile food service activities;BBB;BBB;BBB
BUSSE PERSONAL SERVICE GMBH;664;647;669;1;2;2;663;645;666;0;0;0;650;821;999;0;0;0;0;0;0;650;821;999;168;113;220;1314;1468;1667;133;127;82;25;25;25;108;102;57;1181;1341;1585;811;838;991;370;503;594;364;491;594;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1314;1468;1667;7820;Temporary employment agency activities;BB;BB;BB
BVU BILDUNGS-, VERMITTLUNGS-UNTERNEHMENSBERATUNGS-GMBH;985;1074;1100;4;7;12;981;1067;1089;0;0;0;1407;1367;1591;0;0;0;0;0;0;1407;1367;1591;925;893;1276;2392;2441;2691;1686;1799;1982;41;41;41;1645;1758;1941;706;642;709;236;284;372;470;358;337;470;358;337;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2392;2441;2691;9499;Activities of other membership organisations nec;BBB;BBB;BBB
BWS GMBH;996;1052;783;3;8;12;987;1040;768;5;4;4;1306;1184;749;42;45;42;1140;975;0;124;163;707;1;8;8;2302;2236;1532;495;360;305;26;26;26;470;335;279;992;625;294;890;556;252;102;69;42;102;69;42;815;1251;933;0;490;487;0;78;36;815;683;411;2302;2236;1532;8121;General cleaning of buildings;BB;BB;BB
BY RIESE GMBH & CO. KG;47;87;106;5;8;11;42;79;96;0;0;0;1444;1477;1379;824;611;796;0;0;0;620;865;583;109;251;6;1490;1563;1485;1240;1214;1107;1240;1214;1107;0;0;0;73;350;151;29;304;61;45;45;90;45;45;90;177;0;228;0;0;n.a.;0;0;n.a.;177;0;0;1490;1563;1485;4641;Wholesale of textiles;BBB;BB;BB
BZN GMBH;26;44;62;0;0;0;26;44;62;0;0;0;1631;1499;1580;1246;1317;1436;0;0;0;385;182;144;288;97;44;1657;1543;1642;47;-100;29;25;25;25;22;-125;4;1610;1643;1614;1602;1635;1606;8;8;8;8;8;8;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1657;1543;1642;4612;Agents involved in the sale of fuels, ores, metals and industrial chemicals;CCC;CCC;CCC
CAMEO LASER FRANZ HAGEMANN GMBH;451;394;421;190;209;228;261;185;193;0;0;0;1836;1578;1369;880;733;496;0;0;0;956;845;873;323;97;405;2287;1972;1789;548;390;318;90;90;90;458;300;228;1738;1582;1471;1399;1265;1104;339;317;367;339;317;367;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2287;1972;1789;4669;Wholesale of other machinery and equipment;BB;BB;BB
CARL BERNH. HOFFMANN BERLIN GMBH;55;226;401;28;194;360;27;32;40;0;0;0;1550;1414;1141;496;329;286;0;0;0;1054;1085;855;171;199;294;1605;1640;1541;276;239;187;25;25;25;251;214;162;868;968;1057;856;936;1017;12;32;41;12;32;41;461;433;297;0;n.a.;0;0;n.a.;0;461;1;297;1605;1640;1541;4618;Agents specialised in the sale of other particular products;BB;BB;B
CASPAR KOECHLING GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG;404;346;302;8;3;1;386;333;290;10;10;10;3286;3070;2511;1169;1185;665;0;0;0;2116;1885;1846;1027;685;619;3689;3416;2813;1623;1560;1430;26;26;26;1598;1534;1404;2066;1856;1383;1560;1420;1021;506;437;362;506;437;362;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3689;3416;2813;4399;Other specialised construction activities nec;BBB;BBB;BBB
CENCORP DEUTSCHLAND GMBH;95;59;50;9;0;0;86;59;50;0;0;0;1514;1985;2421;205;85;837;0;0;0;1310;1900;1584;793;607;830;1610;2045;2471;686;917;529;250;250;250;436;667;279;924;1127;1942;816;824;1683;108;303;258;108;303;258;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1610;2045;2471;7022;Business and other management consultancy activities;BBB;BBB;BB
CHIPCON JUSCOM GMBH;272;308;288;1;1;1;271;308;287;0;0;0;1555;1971;1592;1017;647;771;0;0;0;538;1325;821;142;426;329;1827;2280;1879;1241;1102;960;26;26;26;1216;1076;934;165;132;143;0;47;88;165;85;55;165;85;55;420;1046;777;0;0;0;0;0;0;420;1046;777;1827;2280;1879;4614;Agents involved in the sale of machinery, industrial equipment, ships and aircraft;BBB;BBB;BBB
CHO-TIME IMMOBILIEN UND BETEILIGUNGS GMBH;272;280;375;0;0;0;3;3;4;270;277;371;2467;1114;649;0;0;0;0;0;0;2467;1114;649;67;67;81;2740;1394;1024;1161;822;430;25;25;25;1136;797;405;387;397;568;366;359;352;20;38;216;20;38;216;1192;175;25;0;0;0;0;0;0;1192;175;25;2740;1394;1024;6420;Activities of holding companies;A;A;A
CHRISTIAN D. MARKMANN GMBH;343;351;370;6;0;0;246;260;280;91;91;91;1519;1263;1296;466;507;415;0;0;0;1054;756;881;196;151;318;1862;1614;1666;348;264;254;26;26;26;322;238;228;1514;1350;1412;972;914;985;542;436;427;542;436;427;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1862;1614;1666;4619;Agents involved in the sale of a variety of goods;BB;BB;BB
CHRISTIAN FILUSCH HANDELSAGENTUR GMBH & CO. KG;13;5;7;8;0;0;5;5;7;0;0;0;1766;1877;2019;1478;1571;1597;0;0;0;287;306;422;5;4;8;1778;1883;2025;140;140;140;25;25;25;115;115;115;1638;1743;676;1631;1728;669;8;15;7;8;15;7;0;0;1209;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;1209;1778;1883;2025;7010;Activities of head offices;B;B;B
CHRISTIAN ROETTGES GMBH & CO. KG;196;219;174;0;0;0;196;219;174;0;0;0;3447;3651;3478;854;928;1134;0;0;0;2593;2723;2344;903;853;862;3643;3870;3652;753;753;753;15;15;15;738;738;738;64;3117;1667;0;2956;1462;64;161;205;64;161;205;2826;0;1231;0;n.a.;0;0;n.a.;0;2826;n.a.;1231;3643;3870;3652;4520;Maintenance and repair of motor vehicles;B;BB;B
CHRISTOPH BUSCH GMBH;788;642;668;0;5;9;788;637;659;0;0;0;1751;1616;1577;683;540;444;0;0;0;1068;1076;1133;109;186;41;2539;2258;2245;1454;1292;1310;25;25;25;1429;1267;1285;491;352;470;357;225;291;134;126;180;134;126;180;594;615;465;0;0;0;0;0;0;594;615;465;2539;2258;2245;4311;Demolition;BBB;BBB;BBB
CITY AUTOHAUS GLASS UG (HAFTUNGSBESCHRAENKT);97;111;54;6;9;0;92;102;54;0;0;0;405;590;566;278;395;418;0;0;0;127;195;148;4;1;57;502;700;619;22;9;16;1;1;1;21;8;15;117;114;70;98;102;45;19;12;25;19;12;25;363;576;533;0;0;0;0;0;0;363;576;533;502;700;619;4510;Sale of motor vehicles;B;CC;CC
CLEAN-SERVICE-ENNIGERLOH GMBH;162;137;125;0;0;0;162;137;125;0;0;0;481;599;648;1;0;0;0;0;0;481;599;648;105;244;265;643;736;773;230;159;192;13;13;13;217;146;179;121;331;581;0;0;321;121;331;260;121;331;260;292;246;0;0;0;n.a.;0;0;n.a.;292;246;n.a.;643;736;773;8122;Other building and industrial cleaning activities;BB;BB;BB
COMBINED CHEMICAL CARGO GMBH;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1189;1926;1616;0;0;0;0;0;0;1189;1926;1616;225;162;245;1189;1926;1616;81;85;89;19;19;19;62;66;70;4;4;5;0;0;0;4;4;5;4;4;5;1104;1838;1523;0;0;0;0;0;0;1104;1838;1523;1189;1926;1616;5229;Other transportation support activities;BB;B;B
COMPACT TEAM EVENT-MARKETING-CONCEPT GMBH;148;159;193;3;5;2;145;154;191;0;0;0;3354;2897;3258;0;0;0;0;0;0;3354;2897;3258;321;129;95;3502;3056;3451;754;1124;1204;102;102;102;652;1022;1101;1816;1632;1574;0;0;0;1816;1632;1574;1816;1632;1574;932;300;673;n.a.;0;n.a.;n.a.;0;n.a.;46;300;1;3502;3056;3451;7490;Other professional, scientific and technical activities nec;BB;BBB;BBB
COMPUR MONITORS GMBH & CO. KG;80;96;132;0;0;0;33;49;85;46;46;46;1435;1884;1678;587;576;584;0;0;0;848;1309;1095;352;794;515;1515;1980;1810;1252;1476;1506;1252;1476;1506;0;0;0;205;428;236;24;7;6;181;421;229;181;421;229;57;77;69;0;0;0;0;0;0;57;77;69;1515;1980;1810;2651;Manufacture of instruments and appliances for measuring, testing and navigation;BBB;BBB;BBB
COMSTEX GMBH & CO. KG;9;13;9;0;0;0;9;13;9;0;0;0;1012;1053;1186;151;154;152;0;0;0;861;899;1034;542;697;763;1022;1066;1195;723;773;911;723;773;911;0;0;0;20;55;53;0;0;0;20;55;53;20;55;53;278;239;230;0;0;0;0;0;0;278;239;230;1022;1066;1195;4614;Agents involved in the sale of machinery, industrial equipment, ships and aircraft;BB;BB;BB
COMTE METALLVEREDELUNG GMBH & CO. KG;215;245;285;0;0;0;215;245;285;0;0;0;1226;918;631;0;0;0;0;0;0;1226;918;631;372;230;69;1440;1163;916;400;400;400;400;400;400;0;0;0;329;272;245;0;0;0;329;272;245;329;272;245;711;491;271;0;0;0;0;0;0;711;491;271;1440;1163;916;2561;Treatment and coating of metals;;BB;BB
COMTUER WEIMANN GMBH;1112;1145;938;87;91;110;1024;1054;828;0;0;0;1660;2001;2603;738;666;715;0;0;0;921;1335;1888;505;980;1067;2771;3145;3541;666;659;637;100;100;100;566;559;537;1003;1154;1164;475;556;646;529;599;518;529;599;518;1102;1332;1741;0;0;0;0;0;0;1102;1332;1741;2771;3145;3541;4339;Other building completion and finishing;BB;BB;BB
CONCEPT MATERNEL GGMBH;434;492;560;0;0;0;420;481;558;13;11;2;1037;912;1173;0;0;0;0;0;0;1037;912;1173;659;303;758;1471;1404;1733;-46;-203;-429;25;25;25;-71;-228;-454;341;587;865;173;228;729;168;359;136;168;359;136;1176;1019;1297;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;958;928;829;1471;1404;1733;8891;Child day-care activities;CCC;CC;CC
CONTAINER KRAUS GMBH;948;1134;1337;30;9;12;918;1126;1326;0;0;0;3135;2680;1926;157;99;124;0;0;0;2977;2581;1802;979;736;314;4083;3815;3263;3112;2748;2219;25;25;25;3087;2723;2194;971;1067;369;804;800;145;167;267;225;167;267;225;0;0;674;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;674;4083;3815;3263;3820;Waste treatment and disposal;BBB;BBB;BBB
CONTRA-SPORT TISCHTENNIS SERVICE KOSCHNICK & SOHNS GMBH;789;860;947;244;328;449;545;532;498;0;0;0;2671;2679;2558;2125;2055;1925;0;0;0;546;624;633;17;7;39;3460;3539;3505;1319;1579;1475;112;112;112;1207;1467;1363;2141;1961;2029;1906;1872;1892;235;88;137;235;88;137;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3460;3539;3505;4649;Wholesale of other household goods;BB;BBB;BBB
CP PUMPEN GMBH;12;14;39;0;0;0;12;14;39;0;0;0;1341;1394;1084;430;438;385;0;0;0;911;956;700;71;154;107;1353;1407;1123;277;249;312;100;100;100;177;149;212;50;107;129;0;0;0;50;107;129;50;107;129;1027;1050;682;0;0;0;0;0;0;1027;1050;682;1353;1407;1123;2813;Manufacture of other pumps and compressors;BB;BB;BB
CREAPLAN BAUBETREUUNGSGESELLSCHAFT MBH;264;251;8;0;0;0;264;251;8;0;0;0;4201;2922;7363;4098;2790;5598;0;0;0;103;132;1765;75;115;1673;4465;3173;7371;97;126;0;25;25;25;72;101;-25;4368;196;7371;4322;0;7365;46;196;6;46;196;6;0;2852;0;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;2852;n.a.;4465;3173;7371;4110;Development of building projects;CCC;CCC;CC
CREDITREFORM HERFORD & MINDEN DORFF GMBH & CO. KG;1286;1299;490;56;72;105;286;247;209;944;980;177;1030;1323;2204;194;214;228;0;0;0;836;1109;1976;508;677;1678;2316;2622;2695;550;550;550;100;100;100;450;450;450;1384;1696;1769;1348;1649;1601;36;46;168;36;46;168;382;377;376;0;0;0;0;0;0;382;377;376;2316;2622;2695;8291;Activities of collection agencies and credit bureaus;BB;BB;BB
CRETSCHMAR-NAVIS SEEHAFEN-SPEDITION GMBH;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;492;579;862;0;0;0;0;0;0;492;579;862;125;113;229;492;579;862;243;270;283;25;25;25;218;245;258;250;309;580;222;280;557;27;29;23;27;29;23;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;492;579;862;5229;Other transportation support activities;BB;BB;BB
CTE ENTWICKLUNGEN GMBH;46;40;41;7;1;0;39;38;41;0;0;0;775;909;738;82;94;98;0;0;0;693;814;640;15;0;17;821;948;779;113;113;108;26;26;26;87;87;82;371;836;671;0;495;341;371;341;330;371;341;330;337;0;0;0;n.a.;n.a.;0;n.a.;n.a.;337;n.a.;n.a.;821;948;779;7112;Engineering activities and related technical consultancy;BB;BB;BB
D & W FLEXO-MANUFAKTUR GMBH & CO.KG;4;5;15;0;0;7;4;5;8;0;0;0;1111;1287;1270;288;304;269;0;0;0;822;983;1000;454;175;250;1115;1292;1285;400;350;250;400;350;250;0;0;0;715;942;1035;550;747;866;165;195;169;165;195;169;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1115;1292;1285;1813;Pre-press and pre-media services;BB;BB;BB
D. DOERWANG GMBH;591;745;894;2;2;6;587;742;888;2;0;0;1347;1222;791;231;339;302;0;0;0;1117;883;490;723;432;2;1939;1967;1685;1522;1410;1239;26;26;26;1496;1385;1213;133;108;147;0;0;0;133;108;147;133;108;147;283;448;299;0;0;0;0;0;0;283;448;299;1939;1967;1685;4666;Wholesale of other office machinery and equipment;BBB;BBB;BBB
DAKOSERV DATEN KOMMUNIKATION SERVICE GMBH;16;26;29;1;1;0;15;25;29;0;0;0;1489;1024;1380;0;0;0;0;0;0;1489;1024;1380;126;253;5;1505;1050;1409;140;395;248;50;50;50;89;345;197;60;98;125;1;1;1;60;98;124;60;98;124;1305;557;1037;0;0;0;0;0;0;1305;557;1037;1505;1050;1409;6209;Other information technology and computer service activities;BB;BB;BB
DC DEMOLITION GMBH;86;21;23;9;0;0;77;21;23;0;0;0;621;282;633;0;0;25;0;0;0;621;282;608;273;17;4;707;303;656;205;22;51;25;25;25;180;-3;26;54;6;6;0;0;0;54;6;6;54;6;6;448;275;599;0;0;0;0;0;0;448;275;599;707;303;656;4311;Demolition;BB;CCC;B
DC-SYSTEME INFORMATIK GMBH;1714;1748;1868;0;0;2;1714;1747;1866;0;0;0;2397;2294;2116;435;299;213;0;0;0;1962;1995;1903;1462;1479;1382;4111;4041;3983;2747;2565;2451;102;102;102;2644;2462;2349;1003;1477;1527;788;1205;1169;215;272;358;215;272;358;361;0;5;0;n.a.;0;0;n.a.;0;361;n.a.;5;4111;4041;3983;6201;Computer programming activities;BBB;BBB;BBB
DECO GUSS GMBH;989;770;810;18;36;41;766;506;543;205;228;226;1687;2212;1650;644;675;630;0;0;0;1043;1536;1020;332;624;163;2676;2981;2460;541;515;480;14;14;14;527;501;466;2135;2467;1980;1431;1823;1345;703;644;635;703;644;632;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2676;2981;2460;2451;Casting of iron;BB;BB;BB
DELIUS IMMOBILIEN AG;100;183;157;0;0;1;18;11;12;82;172;144;4260;5674;4425;0;0;0;0;0;0;4260;5674;4425;13;356;332;4360;5857;4582;751;689;626;400;400;400;351;289;226;3609;5168;3956;2864;2923;2016;745;2246;1940;745;2246;1940;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4360;5857;4582;6831;Real estate agencies;BB;B;BB
DELVIS SOLUTIONS GMBH;152;152;126;1;0;0;151;152;126;0;0;0;1685;2076;1163;11;0;0;0;0;0;1675;2076;1163;36;30;244;1837;2228;1289;1267;1113;666;100;100;100;1167;1013;566;182;1115;301;0;954;0;182;161;301;174;140;279;388;0;322;0;n.a.;0;0;n.a.;0;388;n.a.;322;1837;2228;1289;7112;Engineering activities and related technical consultancy;BBB;BBB;BB
DENZLEIN GMBH;609;749;877;10;17;24;599;731;853;0;0;0;2736;2877;3256;1119;895;263;0;0;0;1617;1982;2993;1336;1705;2594;3345;3625;4134;1478;2308;3418;25;25;25;1453;2283;3393;736;548;485;100;0;0;636;548;485;636;548;485;1131;769;231;0;0;0;0;0;0;1131;769;231;3345;3625;4134;2223;Manufacture of builders' ware of plastic;BBB;BBB;BBB
DIAKONIE-/SOZIALSTATION WESTHARZ GGMBH;2353;1180;438;28;27;35;2301;1130;380;23;23;23;2448;2300;2611;0;0;0;0;1222;856;2448;1077;1755;1155;962;1667;4801;3480;3049;3777;2978;2548;51;51;51;3726;2927;2497;1024;336;342;695;0;0;329;336;342;329;336;342;0;166;159;n.a.;0;0;n.a.;59;32;n.a.;107;127;4801;3480;3049;8710;Residential nursing care activities;BBB;BBB;BBB
DISPO PERSONALDIENSTLEISTUNGEN GMBH;21;39;58;1;2;0;20;38;58;0;0;0;1209;1762;1595;0;0;0;0;0;0;1209;1762;1595;889;961;920;1230;1801;1653;743;935;722;26;26;26;718;909;697;487;866;931;231;487;531;256;379;400;256;379;400;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1230;1801;1653;7820;Temporary employment agency activities;BB;BBB;BBB
DKF KLOZ GMBH;924;1115;1083;0;0;0;923;1115;1082;1;1;1;878;875;840;481;537;491;0;0;0;397;338;349;110;71;146;1801;1990;1923;674;738;685;153;153;153;521;584;531;527;1253;1238;0;692;669;527;561;569;527;561;569;601;0;0;0;n.a.;n.a.;0;n.a.;n.a.;601;n.a.;n.a.;1801;1990;1923;2593;Manufacture of wire products, chain and springs;BBB;BBB;BBB
DKFP GMBH & CO. KG;643;668;573;7;9;0;636;659;573;0;0;0;469;336;356;40;47;44;0;0;0;430;289;313;3;0;n.a.;1112;1004;930;5;5;5;5;5;5;0;0;0;628;989;915;558;948;894;71;42;21;71;42;21;479;10;10;n.a.;0;0;n.a.;0;0;9;10;10;1112;1004;930;2220;Manufacture of plastics products;B;B;B
DKM ANLAGENBAU GMBH;312;334;259;1;2;2;311;333;257;0;0;0;4342;1994;3738;3364;714;1692;0;0;0;978;1280;2046;1;660;1751;4654;2328;3997;1214;1223;1484;26;26;26;1188;1197;1458;398;397;392;47;43;0;351;354;392;351;354;392;3042;708;2121;0;0;0;0;0;0;3042;708;2121;4654;2328;3997;4669;Wholesale of other machinery and equipment;B;BBB;BB
DMC-ORTIM GMBH;262;173;191;3;5;7;23;32;47;236;136;136;1434;1449;1742;145;129;157;0;0;0;1289;1319;1585;366;455;718;1697;1622;1932;996;1009;1291;26;26;26;970;983;1265;561;452;452;241;139;136;319;313;316;319;313;316;140;161;190;0;0;n.a.;0;0;n.a.;140;161;1;1697;1622;1932;4651;Wholesale of computers, computer peripheral equipment and software;BBB;BBB;BBB
DOERDELMANN BACKWAREN VERTRIEBS GMBH & CO. KG;530;614;668;0;0;0;527;610;664;4;4;4;322;169;152;15;11;12;0;0;0;307;158;140;243;95;29;852;783;820;100;100;100;100;100;100;0;0;0;752;683;720;728;649;686;25;34;33;25;34;33;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;852;783;820;4724;Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores;BB;BB;BB
DOHLE HANDELSGESELLSCHAFT LEIPZIG GMBH & CO. KG;44549;48805;40725;0;0;0;44549;48805;40725;0;0;0;981;886;1739;0;0;0;0;0;0;981;886;1739;671;574;985;45531;49691;42464;343;1643;1250;2301;2301;2301;-1958;-658;-1051;45188;48048;12;45149;47871;0;39;177;12;39;177;12;0;0;41202;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;41202;45531;49691;42464;7010;Activities of head offices;B;B;CC
DOHSE AQUARISTIK GMBH & CO. KG;1421;1526;1666;58;101;142;1363;1425;1523;0;0;0;2503;2607;2802;1904;1936;2137;0;0;0;600;671;665;50;69;40;3925;4133;4468;890;590;590;390;90;90;500;500;500;3035;945;3321;2903;809;3190;132;136;131;132;136;131;0;2598;557;n.a.;0;0;n.a.;0;0;n.a.;2598;557;3925;4133;4468;4623;Wholesale of live animals;B;CCC;CCC
DOMA REINIGUNGSDIENSTLEISTUNGEN GMBH;47;111;142;14;4;0;29;102;137;5;5;5;2704;1920;1781;32;30;26;0;0;0;2672;1890;1755;1049;732;679;2751;2031;1923;1494;1353;1125;25;25;25;1469;1328;1100;1257;678;797;1022;662;760;235;16;38;235;16;38;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2751;2031;1923;8121;General cleaning of buildings;BBB;BBB;BBB
DOMINO HAUS- UND GRUNDBESITZ GMBH;85;24;41;0;0;1;85;24;40;0;0;0;33598;15746;13020;23168;7011;9767;0;0;0;10430;8735;3253;9804;8619;3135;33683;15770;13061;3870;3704;3608;13;13;13;3857;3692;3595;29813;12066;2568;27374;9207;0;2439;2859;2568;2439;2859;2568;0;0;6885;n.a.;n.a.;0;n.a.;n.a.;0;n.a.;n.a.;6885;33683;15770;13061;4110;Development of building projects;CCC;BB;B
DOMO PROJEKTENTWICKLUNG GMBH;1580;1613;642;0;0;0;1580;1613;642;0;0;0;6194;2582;4526;3849;2230;2586;0;0;0;2344;352;1940;2154;132;1765;7774;4195;5167;1200;1203;1125;25;25;25;1175;1178;1100;410;231;213;375;0;0;34;231;213;34;231;213;6164;2760;3829;0;0;0;0;0;0;6164;2760;3829;7774;4195;5167;4110;Development of building projects;B;B;B
DR. GUSTAV KLEIN GMBH & CO. KG;780;847;924;214;337;351;565;509;571;1;1;3;2032;1950;1867;1028;1121;1019;0;0;0;1004;829;847;179;164;265;2812;2797;2791;1280;1164;1195;111;111;115;1170;1053;1080;293;223;240;0;0;0;293;223;240;293;223;240;1238;1410;1356;n.a.;0;0;1238;0;0;n.a.;1410;1356;2812;2797;2791;2120;Manufacture of pharmaceutical preparations;BB;BB;BB
DR. IHDE DENTALGESELLSCHAFT MIT BESCHRAENKTER HAFTUNG;66;57;84;5;9;15;61;47;68;0;0;0;1804;1943;1415;929;1083;734;0;0;0;876;860;682;591;611;414;1871;2000;1499;1037;833;651;100;100;100;937;733;551;649;1167;848;359;516;636;290;651;213;290;651;213;185;0;0;0;n.a.;n.a.;0;n.a.;n.a.;185;n.a.;n.a.;1871;2000;1499;4646;Wholesale of pharmaceutical goods;BBB;BBB;BB
DST DIAGNOSTISCHE SYSTEME & TECHNOLOGIEN GMBH;1952;2328;2734;609;749;881;1343;1578;1853;0;0;0;2412;1517;1429;1031;1049;1072;0;0;0;1381;468;357;81;126;97;4364;3845;4163;3083;2744;3633;10308;10308;10308;-7225;-7564;-6675;897;803;205;534;606;111;363;197;94;363;197;94;384;299;325;43;0;0;202;0;107;139;299;218;4364;3845;4163;3299;Other manufacturing nec;BBB;BBB;BBB
