Company name;Fixed assets 2018;Fixed assets 2017;Fixed assets 2016;Intangible fixed assets 2018;Intangible fixed assets 2017;Intangible fixed assets 2016;Tangible fixed assets 2018;Tangible fixed assets 2017;Tangible fixed assets 2016;Other fixed assets 2018;Other fixed assets 2017;Other fixed assets 2016;Current assets 2018;Current assets 2017;Current assets 2016;Stock 2018;Stock 2017;Stock 2016;Debtors 2018;Debtors 2017;Debtors 2016;Other current assets 2018;Other current assets 2017;Other current assets 2016;Cash & cash equivalent 2018;Cash & cash equivalent 2017;Cash & cash equivalent 2016;Total assets 2018;Total assets 2017;Total assets 2016;Shareholders funds 2018;Shareholders funds 2017;Shareholders funds 2016;Capital 2018;Capital 2017;Capital 2016;Other shareholders funds 2018;Other shareholders funds 2017;Other shareholders funds 2016;Non-current liabilities 2018;Non-current liabilities 2017;Non-current liabilities 2016;Long term debt 2018;Long term debt 2017;Long term debt 2016;Other non-current liabilities 2018;Other non-current liabilities 2017;Other non-current liabilities 2016;Provisions 2018;Provisions 2017;Provisions 2016;Current liabilities 2018;Current liabilities 2017;Current liabilities 2016;Loans 2018;Loans 2017;Loans 2016;Creditors 2018;Creditors 2017;Creditors 2016;Other current liabilities 2018;Other current liabilities 2017;Other current liabilities 2016;Total shareh. funds & liab. 2018;Total shareh. funds & liab. 2017;Total shareh. funds & liab. 2016;NACE Rev. 2 primary code;NACE Rev. 2, primary code description;MORE evaluation - Score 2018;MORE evaluation - Score 2017;MORE evaluation - Score 2016
HEINZ HARTMANN GMBH;567;434;419;0;0;0;481;351;338;86;83;81;2612;2572;2094;1527;1425;1158;0;0;0;1086;1147;936;346;385;341;3180;3006;2513;265;256;229;300;300;300;-35;-44;-71;1995;2750;1672;1697;2449;1402;298;301;270;298;301;270;919;0;611;0;n.a.;0;0;n.a.;0;919;n.a.;611;3180;3006;2513;4520;Maintenance and repair of motor vehicles;B;B;B
MEHRWERK GMBH;1448;1614;1688;750;944;960;418;392;428;280;278;300;4106;3822;3615;2;13;5;0;0;0;4103;3808;3610;629;584;440;5554;5435;5303;2808;2678;2537;128;128;128;2680;2550;2409;2141;2081;1286;1541;1414;653;599;667;632;599;667;632;605;676;1481;0;0;n.a.;0;0;n.a.;605;676;665;5554;5435;5303;7022;Business and other management consultancy activities;BBB;BBB;BBB
JUERGEN LAESSIG GMBH & CO KG;300;352;401;3;6;14;296;346;387;0;0;0;1908;1835;1663;382;192;391;0;0;0;1526;1643;1273;722;759;516;2208;2187;2065;1083;1137;1103;1083;1137;1103;0;0;0;367;352;357;0;0;0;367;352;357;367;352;357;758;698;605;0;0;0;0;54;106;758;644;499;2208;2187;2065;4321;Electrical installation;BBB;BBB;BBB
CPB SOFTWARE (GERMANY) GMBH;172;288;394;26;101;181;113;148;144;34;40;70;2425;2253;1337;48;127;69;0;0;0;2376;2125;1268;43;147;111;2597;2541;1731;1775;1409;940;500;500;527;1275;909;413;566;1031;446;0;346;40;565;685;406;565;685;406;256;101;346;n.a.;0;n.a.;n.a.;0;n.a.;54;101;57;2597;2541;1731;6201;Computer programming activities;BBB;BBB;BBB
REGLER OFFICE GMBH;509;473;414;268;227;180;75;98;96;166;149;137;1745;1910;1700;729;735;689;0;0;0;1015;1175;1012;66;13;11;2254;2384;2114;685;623;628;25;25;25;660;598;603;1569;1761;1486;1537;1687;1324;31;74;162;31;74;162;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2254;2384;2114;4649;Wholesale of other household goods;BBB;BBB;BBB
SIEGENER WERKZEUG- UND HAERTETECHNIK GMBH;307;301;305;0;1;2;48;41;45;258;258;258;2634;2058;1643;1200;980;831;0;0;0;1434;1078;812;594;277;100;2940;2358;1948;2044;1613;1511;102;102;102;1942;1510;1408;896;391;81;673;314;0;223;77;81;223;77;81;0;355;356;n.a.;0;0;n.a.;0;0;n.a.;355;356;2940;2358;1948;2561;Treatment and coating of metals;BBB;BBB;BBB
FOOD-SERVICE DEITERS & FLORIN GMBH;584;640;154;23;34;45;561;606;109;0;0;0;3996;4146;3065;3007;2999;2646;0;0;0;988;1147;418;1;0;4;4579;4787;3218;240;195;172;26;26;26;215;170;146;4339;2500;88;4315;2488;81;24;12;7;24;12;7;0;2091;2958;n.a.;0;0;n.a.;0;0;n.a.;2091;2958;4579;4787;3218;1089;Manufacture of other food products nec;CCC;CCC;CC
MSB MASCHINEN- UND STAHLBAU GMBH & CO. KOMMANDITGESELLSCHAFT;392;405;427;27;53;53;300;286;309;66;66;66;2952;4253;3320;709;2221;324;0;0;0;2243;2032;2996;956;213;1795;3344;4658;3748;800;800;1071;300;300;571;500;500;500;1003;3858;798;310;3588;566;693;270;232;693;270;232;1541;0;1878;0;n.a.;0;0;n.a.;0;1541;n.a.;1878;3344;4658;3748;2891;Manufacture of machinery for metallurgy;BBB;B;BBB
SCHOENE NEUE KINDER GMBH;177;129;75;33;4;0;144;73;25;0;52;50;3152;2421;1550;40;1;55;0;0;0;3111;2420;1496;1277;523;219;3329;2550;1626;1713;911;386;50;30;30;1663;881;356;255;202;142;0;0;1;255;202;141;255;202;141;1362;1437;1098;0;0;0;0;0;0;1362;1437;1098;3329;2550;1626;7022;Business and other management consultancy activities;BBB;BBB;BB
CCI EUROLAM GMBH;287;319;359;0;0;0;287;319;359;0;0;0;3535;2922;2792;2216;1516;1658;0;0;0;1319;1405;1134;377;465;368;3823;3240;3151;2013;1650;1350;128;128;128;1885;1522;1222;283;229;132;0;0;0;283;229;132;283;229;132;1527;1361;1669;0;0;0;0;0;0;1527;1361;1669;3823;3240;3151;4669;Wholesale of other machinery and equipment;BB;BBB;BB
